text,label,author_id,timestamp
começando no Python. Achei bem interessante.,0,u0533,2024-05-16 20:55:00
assistindo a série nova #tecnologia,0,u0558,2024-12-20 16:57:00
"vizinho tocando funk 3am, amo, esperando só umas 27 horas!! 😏",1,u0336,2025-03-28 08:11:00
finalmente chovendo aqui. Boa semana a todos.,0,u0356,2024-07-03 04:49:00
"Ai, "" SP sem trânsito numa segunda "" nota 1000!! 👏",1,u0585,2025-06-03 08:52:00
indo trabalhar agora #tecnologia,0,u0553,2024-04-16 18:47:00
"Adoro quando servidor reiniciou sozinho, sucesso.",1,u0510,2025-04-25 14:39:00
"""que gestão exemplar da cidade"" #aham 🔥 #bbb",1,u0440,2025-02-23 20:09:00
foco no TCC. Achei bem interessante.,0,u0417,2025-01-31 17:07:00
finalmente chovendo aqui,0,u0067,2024-09-13 06:40:00
começando no Python. Boa semana a todos.,0,u0579,2025-06-22 12:20:00
promoção legal na loja do bairro #streaming,0,u0310,2025-07-18 04:39:00
partiu academia #feriado,0,u0020,2025-02-13 23:28:00
partiu academia,0,u0240,2024-05-23 16:18:00
"bom dia, pessoal 🌧️",0,u0504,2024-07-31 17:20:00
"Ai, "" que gestão exemplar da cidade "" que alegria… 🙄 ✨",1,u0146,2024-12-02 21:54:00
partiu academia. Boa semana a todos.,0,u0127,2024-01-27 11:35:00
"preço baixou muito esse mês. tudo sob controle, né 🔥 #trabalho",1,u0596,2024-08-10 01:37:00
"fila do banco às 17h, que sorte aham tá 😅 #feriado",1,u0381,2024-12-02 04:42:00
começando no Python. Achei bem interessante.,0,u0158,2025-08-14 07:46:00
ótima aula hoje. Boa semana a todos.,0,u0446,2025-06-22 13:49:00
finalmente chovendo aqui. Boa semana a todos.,0,u0191,2024-03-15 22:03:00
"""o debate elevou o nível, né"" #sqn 😅",1,u0083,2024-08-28 12:07:00
"jogo às 21h, vamos!. Boa semana a todos.",0,u0323,2024-02-13 23:55:00
partiu academia,0,u0038,2025-09-03 15:16:00
ótima aula hoje. Boa semana a todos.,0,u0104,2024-04-12 21:49:00
"time adversário nunca cai no chão, coisa mais rápida do universo!! 🙄 #bbb",1,u0118,2025-09-02 00:17:00
adoro pagar imposto pra isso aham tá 🔥,1,u0288,2025-01-05 02:27:00
café passado na hora. Boa semana a todos.,0,u0039,2024-11-11 23:01:00
"""wifi do aeroporto é um foguete"" #sarcasmo 😅 #tecnologia",1,u0197,2025-02-10 17:23:00
conta de luz veio baixinha aham tá 🔥 #chuva,1,u0481,2024-08-31 14:39:00
"jogo às 21h, vamos! #trabalho",0,u0224,2025-01-03 16:56:00
foco no TCC 🌧️,0,u0567,2024-03-01 16:02:00
foco no TCC. Boa semana a todos.,0,u0343,2024-04-10 23:30:00
"""suporte respondeu em 2 segundos"" #sarcasmo 👏",1,u0433,2025-04-15 22:09:00
assistindo a série nova. Boa semana a todos.,0,u0512,2025-06-29 10:34:00
"wifi do aeroporto é um foguete, esperando só umas 27 horas!! 😏 #feriado",1,u0071,2024-06-05 22:13:00
"Ai, "" time adversário nunca cai no chão "" que alegria… 🙄 🤡 #chuva",1,u0480,2025-09-04 01:50:00
finalmente chovendo aqui,0,u0008,2024-07-14 09:22:00
"transparência nível máximo. tudo sob controle, né ✨",1,u0529,2025-02-09 09:47:00
"time adversário nunca cai no chão, fila de uns 3 km!! 😂",1,u0258,2025-03-05 21:37:00
"""ingresso baratinho"" #sóquenão 😏",1,u0266,2024-06-06 05:11:00
"jogo às 21h, vamos! #streaming",0,u0484,2024-03-19 18:08:00
Adoro quando deploy de sexta é tranquilo. #timão,1,u0470,2025-09-15 20:10:00
"""preço baixou muito esse mês"" #sarcasmo 😂",1,u0424,2024-02-23 11:14:00
mais uma promessa cumprida. o que poderia dar errado? 👏,1,u0023,2025-07-23 01:37:00
o ônibus chegou no horário. Boa semana a todos.,0,u0009,2025-03-13 16:20:00
"Ai, "" que gestão exemplar da cidade "" nota 1000!! 😏",1,u0317,2024-05-10 19:34:00
arrumei meu PC hoje. Achei bem interessante.,0,u0175,2024-03-16 04:20:00
indo trabalhar agora. Achei bem interessante.,0,u0174,2024-06-05 09:10:00
Adoro quando transmissão sem travar.,1,u0251,2024-10-23 03:25:00
"mais uma promessa cumprida. tudo sob controle, né 😅 #tecnologia",1,u0133,2025-06-02 08:08:00
começando no Python. Boa semana a todos.,0,u0147,2025-01-18 12:28:00
café passado na hora 📚,0,u0151,2024-12-01 16:28:00
"Ai, "" transmissão sem travar "" tá ótimo 😒 #timão",1,u0010,2024-08-28 20:43:00
finalmente chovendo aqui 👍,0,u0514,2024-02-02 21:26:00
indo trabalhar agora 🌞,0,u0267,2025-05-15 02:57:00
Adoro quando adoro pagar imposto pra isso.,1,u0145,2025-05-13 16:42:00
assistindo a série nova. Achei bem interessante.,0,u0335,2025-04-24 08:12:00
começando no Python. Achei bem interessante.,0,u0575,2025-01-24 04:52:00
alguém indica um livro de IA? #bbb,0,u0203,2025-04-19 01:35:00
"""acordei e o café derramou no teclado"" #sóquenão 🙄 #timão",1,u0111,2025-07-12 02:37:00
"conta de luz veio baixinha, economizei uns trilhões!! 🙄",1,u0369,2025-02-20 06:06:00
finalmente chovendo aqui,0,u0429,2024-02-18 07:26:00
"time adversário nunca cai no chão, economizei uns trilhões!! 🔥",1,u0260,2024-10-31 18:27:00
Adoro quando deploy de sexta é tranquilo. #trabalho,1,u0593,2024-05-20 20:06:00
começando no Python 🙂,0,u0176,2025-08-09 22:07:00
café passado na hora #bbb,0,u0114,2025-07-18 20:37:00
"fila do mercado voando, fila de uns 3 km!! 🤡",1,u0357,2024-01-01 09:18:00
café passado na hora. Achei bem interessante.,0,u0280,2024-06-28 20:43:00
finalmente chovendo aqui,0,u0060,2024-10-29 11:39:00
suco de laranja perfeito #bbb,0,u0412,2024-06-27 11:32:00
"""conta de luz veio baixinha"" #sarcasmo 😒 #chuva",1,u0463,2024-11-12 05:13:00
assistindo a série nova 👍,0,u0387,2024-06-03 00:13:00
promoção legal na loja do bairro. Achei bem interessante.,0,u0254,2024-01-12 08:41:00
"transmissão sem travar. tudo sob controle, né 😒",1,u0109,2024-02-12 14:58:00
alguém indica um livro de IA? 💻,0,u0006,2025-06-11 14:31:00
Adoro quando time adversário nunca cai no chão. #chuva,1,u0003,2025-03-24 16:28:00
começando no Python,0,u0032,2025-04-05 14:43:00
Adoro quando mais uma promessa cumprida.,1,u0536,2024-08-22 02:57:00
"jogo às 21h, vamos! #estudos",0,u0068,2025-05-10 06:15:00
"""conta de luz veio baixinha"" #sóquenão 😂 #streaming",1,u0164,2025-05-29 16:10:00
"deploy de sexta é tranquilo. isso que é eficiência, certo? 🙄",1,u0159,2024-04-11 21:23:00
mais uma promessa cumprida sqn 😂,1,u0408,2024-10-05 14:42:00
